id,date,total_cases
270,2020-11-19,529226
271,2020-11-20,531769
272,2020-11-21,533555
273,2020-11-22,535321
274,2020-11-23,537457
275,2020-11-24,539749
276,2020-11-25,542187
277,2020-11-26,544670
278,2020-11-27,547215
279,2020-11-28,548821
280,2020-11-29,550435
281,2020-11-30,552549
282,2020-12-01,554767
283,2020-12-02,556728
284,2020-12-03,558767
285,2020-12-04,560622
286,2020-12-05,562520
287,2020-12-06,564200
288,2020-12-07,566015
289,2020-12-08,568138
290,2020-12-09,569873
291,2020-12-10,571253
292,2020-12-11,572600
293,2020-12-12,573622
294,2020-12-13,574634
295,2020-12-14,575972
296,2020-12-15,577363
297,2020-12-16,578916
298,2020-12-17,580449
299,2020-12-18,581811
300,2020-12-19,583118
301,2020-12-20,584145
302,2020-12-21,585345
303,2020-12-22,586503
304,2020-12-23,587676
305,2020-12-24,588803
306,2020-12-25,589943
307,2020-12-26,590779
308,2020-12-27,591597
309,2020-12-28,592528
310,2020-12-29,593541
311,2020-12-30,594442
312,2020-12-31,595291
313,2021-01-01,596193
314,2021-01-02,597033
